Name,Description,Block
SP07,shape profile no. 7,Randic molecular profiles
SP08,shape profile no. 8,Randic molecular profiles
SP09,shape profile no. 9,Randic molecular profiles
SP10,shape profile no. 10,Randic molecular profiles
SP11,shape profile no. 11,Randic molecular profiles
SP12,shape profile no. 12,Randic molecular profiles
SP13,shape profile no. 13,Randic molecular profiles
SP14,shape profile no. 14,Randic molecular profiles
SP15,shape profile no. 15,Randic molecular profiles
SP16,shape profile no. 16,Randic molecular profiles
SP17,shape profile no. 17,Randic molecular profiles
SP18,shape profile no. 18,Randic molecular profiles
SP19,shape profile no. 19,Randic molecular profiles
SP20,shape profile no. 20,Randic molecular profiles
SHP2,average shape profile index of order 2,Randic molecular profiles
nCp,number of terminal primary C(sp3),Functional group counts
nCs,number of total secondary C(sp3),Functional group counts
nCt,number of total tertiary C(sp3),Functional group counts
nCq,number of total quaternary C(sp3),Functional group counts
nCrs,number of ring secondary C(sp3),Functional group counts
nCrt,number of ring tertiary C(sp3),Functional group counts
nCrq,number of ring quaternary C(sp3),Functional group counts
nCar,number of aromatic C(sp2),Functional group counts
nCbH,number of unsubstituted benzene C(sp2),Functional group counts
nCb-,number of substituted benzene C(sp2),Functional group counts
nCconj,number of non-aromatic conjugated C(sp2),Functional group counts
nR=Cp,number of terminal primary C(sp2),Functional group counts
nR=Cs,number of aliphatic secondary C(sp2),Functional group counts
nR=Ct,number of aliphatic tertiary C(sp2),Functional group counts
n=C=,number of allenes groups,Functional group counts
nR#CH/X,number of terminal C(sp),Functional group counts
nR#C-,number of non-terminal C(sp),Functional group counts
nROCN,number of cyanates (aliphatic),Functional group counts
nArOCN,number of cyanates (aromatic),Functional group counts
nRNCO,number of isocyanates (aliphatic),Functional group counts
nArNCO,number of isocyanates (aromatic),Functional group counts
nRSCN,number of thiocyanates (aliphatic),Functional group counts
nArSCN,number of thiocyanates (aromatic),Functional group counts
nRNCS,number of isothiocyanates (aliphatic),Functional group counts
nArNCS,number of isothiocyanates (aromatic),Functional group counts
nRCOOH,number of carboxylic acids (aliphatic),Functional group counts
nArCOOH,number of carboxylic acids (aromatic),Functional group counts
nRCOOR,number of esters (aliphatic),Functional group counts
nArCOOR,number of esters (aromatic),Functional group counts
nRCONH2,number of primary amides (aliphatic),Functional group counts
nArCONH2,number of primary amides (aromatic),Functional group counts
nRCONHR,number of secondary amides (aliphatic),Functional group counts
nArCONHR,number of secondary amides (aromatic),Functional group counts
nRCONR2,number of tertiary amides (aliphatic),Functional group counts
nArCONR2,number of tertiary amides (aromatic),Functional group counts
nROCON,number of (thio-) carbamates (aliphatic),Functional group counts
nArOCON,number of (thio-) carbamates (aromatic),Functional group counts
nRCOX,number of acyl halogenides (aliphatic),Functional group counts
nArCOX,number of acyl halogenides (aromatic),Functional group counts
nRCSOH,number of thioacids (aliphatic),Functional group counts
nArCSOH,number of thioacids (aromatic),Functional group counts
nRCSSH,number of dithioacids (aliphatic),Functional group counts
nArCSSH,number of dithioacids (aromatic),Functional group counts
nRCOSR,number of thioesters (aliphatic),Functional group counts
nArCOSR,number of thioesters (aromatic),Functional group counts
nRCSSR,number of dithioesters (aliphatic),Functional group counts
nArCSSR,number of dithioesters (aromatic),Functional group counts
nRCHO,number of aldehydes (aliphatic),Functional group counts
nArCHO,number of aldehydes (aromatic),Functional group counts
nRCO,number of ketones (aliphatic),Functional group counts
nArCO,number of ketones (aromatic),Functional group counts
nCONN,number of urea (-thio) derivatives,Functional group counts
nC=O(O)2,number of carbonate (-thio) derivatives,Functional group counts
nN=C-N<,number of amidine derivatives,Functional group counts
nC(=N)N2,number of guanidine derivatives,Functional group counts
nRC=N,number of imines (aliphatic),Functional group counts
nArC=N,number of imines (aromatic),Functional group counts
nRCNO,number of oximes (aliphatic),Functional group counts
nArCNO,number of oximes (aromatic),Functional group counts
nRNH2,number of primary amines (aliphatic),Functional group counts
nArNH2,number of primary amines (aromatic),Functional group counts
nRNHR,number of secondary amines (aliphatic),Functional group counts
nArNHR,number of secondary amines (aromatic),Functional group counts
nRNR2,number of tertiary amines (aliphatic),Functional group counts
nArNR2,number of tertiary amines (aromatic),Functional group counts
nN-N,number of N hydrazines,Functional group counts
nN=N,number of N azo-derivatives,Functional group counts
nRCN,number of nitriles (aliphatic),Functional group counts
nArCN,number of nitriles (aromatic),Functional group counts
nN+,number of positively charged N,Functional group counts
nNq,number of quaternary N,Functional group counts
nRNHO,number of hydroxylamines (aliphatic),Functional group counts
nArNHO,number of hydroxylamines (aromatic),Functional group counts
nRNNOx,number of N-nitroso groups (aliphatic),Functional group counts
nArNNOx,number of N-nitroso groups (aromatic),Functional group counts
nRNO,number of nitroso groups (aliphatic),Functional group counts
nArNO,number of nitroso groups (aromatic),Functional group counts
nRNO2,number of nitro groups (aliphatic),Functional group counts
nArNO2,number of nitro groups (aromatic),Functional group counts
nN(CO)2,number of imides (-thio),Functional group counts
nC=N-N<,number of hydrazones,Functional group counts
nROH,number of hydroxyl groups,Functional group counts
nArOH,number of aromatic hydroxyls,Functional group counts
nOHp,number of primary alcohols,Functional group counts
nOHs,number of secondary alcohols,Functional group counts
nOHt,number of tertiary alcohols,Functional group counts
nROR,number of ethers (aliphatic),Functional group counts
nArOR,number of ethers (aromatic),Functional group counts
nROX,number of hypohalogenides (aliphatic),Functional group counts
nArOX,number of hypohalogenides (aromatic),Functional group counts
nO(C=O)2,number of anhydrides (-thio),Functional group counts
nH2O,number of water molecules,Functional group counts
nSH,number of thiols,Functional group counts
nC=S,number of thioketones,Functional group counts
nRSR,number of sulfides,Functional group counts
nRSSR,number of disulfides,Functional group counts
nSO,number of sulfoxides,Functional group counts
nS(=O)2,number of sulfones,Functional group counts
nSOH,number of sulfenic (thio-) acids,Functional group counts
nSOOH,number of sulfinic (thio-/dithio-) acids,Functional group counts
nSO2OH,number of sulfonic (thio-/dithio-) acids,Functional group counts
nSO3OH,number of sulfuric (thio-/dithio-) acids,Functional group counts
nSO2,number of sulfites (thio-/dithio-),Functional group counts
nSO3,number of sulfonates (thio-/dithio-),Functional group counts
nSO4,number of sulfates (thio-/dithio-),Functional group counts
nSO2N,number of sulfonamides (thio-/dithio-),Functional group counts
nPO3,number of phosphites/thiophosphites,Functional group counts
nPO4,number of phosphates/thiophosphates,Functional group counts
nPR3,number of phosphanes,Functional group counts
nP(=O)O2R,number of phosphonates (thio-),Functional group counts
nP(=O)R3/nPR5,number of phosphoranes (thio-),Functional group counts
nCH2RX,number of CH2RX,Functional group counts
nCHR2X,number of CHR2X,Functional group counts
nCR3X,number of CR3X,Functional group counts
nR=CHX,number of R=CHX,Functional group counts
nR=CRX,number of R=CRX,Functional group counts
nR#CX,number of R#CX,Functional group counts
nCHRX2,number of CHRX2,Functional group counts
nCR2X2,number of CR2X2,Functional group counts
nR=CX2,number of R=CX2,Functional group counts
nCRX3,number of CRX3,Functional group counts
nArX,number of X on aromatic ring,Functional group counts
nCXr,number of X on ring C(sp3),Functional group counts
nCXr=,number of X on ring C(sp2),Functional group counts
nCconjX,number of X on exo-conjugated C,Functional group counts
nAziridines,number of Aziridines,Functional group counts
nOxiranes,number of Oxiranes,Functional group counts
nThiranes,number of Thiranes,Functional group counts
nAzetidines,number of Azetidines,Functional group counts
nOxetanes,number of Oxetanes,Functional group counts
nThioethanes,number of Thioethanes,Functional group counts
nBeta-Lactams,number of Beta-Lactams,Functional group counts
nPyrrolidines,number of Pyrrolidines,Functional group counts
nOxolanes,number of Oxolanes,Functional group counts
ntH-Thiophenes,number of tetrahydro-thiophenes,Functional group counts
nPyrroles,number of Pyrroles,Functional group counts
nPyrazoles,number of Pyrazoles,Functional group counts
nImidazoles,number of Imidazoles,Functional group counts
nFuranes,number of Furanes,Functional group counts
nThiophenes,number of Thiophenes,Functional group counts
nOxazoles,number of Oxazoles,Functional group counts
nIsoxazoles,number of Isoxazoles,Functional group counts
nThiazoles,number of Thiazoles,Functional group counts
nIsothiazoles,number of Isothiazoles,Functional group counts
nTriazoles,number of Triazoles,Functional group counts
nPyridines,number of Pyridines,Functional group counts
nPyridazines,number of Pyridazines,Functional group counts
nPyrimidines,number of Pyrimidines,Functional group counts
nPyrazines,number of Pyrazines,Functional group counts
n135-Triazines,number of 1-3-5-Triazines,Functional group counts
n124-Triazines,number of 1-2-4-Triazines,Functional group counts
nHDon,number of donor atoms for H-bonds (N and O),Functional group counts
nHAcc,"number of acceptor atoms for H-bonds (N,O,F)",Functional group counts
nHBonds,"number of intramolecular H-bonds (with N,O,F)",Functional group counts
C-001,CH3R / CH4,Atom-centred fragments
C-002,CH2R2,Atom-centred fragments
C-003,CHR3,Atom-centred fragments
C-004,CR4,Atom-centred fragments
C-005,CH3X,Atom-centred fragments
C-006,CH2RX,Atom-centred fragments
C-007,CH2X2,Atom-centred fragments
C-008,CHR2X,Atom-centred fragments
C-009,CHRX2,Atom-centred fragments
C-010,CHX3,Atom-centred fragments
C-011,CR3X,Atom-centred fragments
C-012,CR2X2,Atom-centred fragments
C-013,CRX3,Atom-centred fragments
C-014,CX4,Atom-centred fragments
C-015,=CH2,Atom-centred fragments
C-016,=CHR,Atom-centred fragments
C-017,=CR2,Atom-centred fragments
C-018,=CHX,Atom-centred fragments
C-019,=CRX,Atom-centred fragments
C-020,=CX2,Atom-centred fragments
C-021,#CH,Atom-centred fragments
C-022,#CR / R=C=R,Atom-centred fragments
C-023,#CX,Atom-centred fragments
C-024,R--CH--R,Atom-centred fragments
C-025,R--CR--R,Atom-centred fragments
C-026,R--CX--R,Atom-centred fragments
C-027,R--CH--X,Atom-centred fragments
C-028,R--CR--X,Atom-centred fragments
C-029,R--CX--X,Atom-centred fragments
C-030,X--CH--X,Atom-centred fragments
C-031,X--CR--X,Atom-centred fragments
C-032,X--CX--X,Atom-centred fragments
C-033,R--CH..X,Atom-centred fragments
C-034,R--CR..X,Atom-centred fragments
C-035,R--CX..X,Atom-centred fragments
C-036,Al-CH=X,Atom-centred fragments
C-037,Ar-CH=X,Atom-centred fragments
C-038,Al-C(=X)-Al,Atom-centred fragments
C-039,Ar-C(=X)-R,Atom-centred fragments
C-040,R-C(=X)-X / R-C#X / X=C=X,Atom-centred fragments
C-041,X-C(=X)-X,Atom-centred fragments
C-042,X--CH..X,Atom-centred fragments
C-043,X--CR..X,Atom-centred fragments
C-044,X--CX..X,Atom-centred fragments
H-046,H attached to C0(sp3) no X attached to next C,Atom-centred fragments
H-047,H attached to C1(sp3)/C0(sp2),Atom-centred fragments
H-048,H attached to C2(sp3)/C1(sp2)/C0(sp),Atom-centred fragments
H-049,H attached to C3(sp3)/C2(sp2)/C3(sp2)/C3(sp),Atom-centred fragments
H-050,H attached to heteroatom,Atom-centred fragments
H-051,H attached to alpha-C,Atom-centred fragments
H-052,H attached to C0(sp3) with 1X attached to next C,Atom-centred fragments
H-053,H attached to C0(sp3) with 2X attached to next C,Atom-centred fragments
H-054,H attached to C0(sp3) with 3X attached to next C,Atom-centred fragments
H-055,H attached to C0(sp3) with 4X attached to next C,Atom-centred fragments
O-056,alcohol,Atom-centred fragments
O-057,phenol / enol / carboxyl OH,Atom-centred fragments
O-058,=O,Atom-centred fragments
O-059,Al-O-Al,Atom-centred fragments
O-060,Al-O-Ar / Ar-O-Ar / R..O..R / R-O-C=X,Atom-centred fragments
O-061,O--,Atom-centred fragments
O-062,O- (negatively charged),Atom-centred fragments
O-063,R-O-O-R,Atom-centred fragments
Se-064,Any-Se-Any,Atom-centred fragments
Se-065,=Se,Atom-centred fragments
N-066,Al-NH2,Atom-centred fragments
N-067,Al2-NH,Atom-centred fragments
N-068,Al3-N,Atom-centred fragments
N-069,Ar-NH2 / X-NH2,Atom-centred fragments
N-070,Ar-NH-Al,Atom-centred fragments
N-071,Ar-NAl2,Atom-centred fragments
N-072,RCO-N< / >N-X=X,Atom-centred fragments
N-073,Ar2NH / Ar3N / Ar2N-Al / R..N..R,Atom-centred fragments
N-074,R#N / R=N-,Atom-centred fragments
N-075,R--N--R / R--N--X,Atom-centred fragments
N-076,Ar-NO2 / R--N(--R)--O / RO-NO,Atom-centred fragments
N-077,Al-NO2,Atom-centred fragments
N-078,Ar-N=X / X-N=X,Atom-centred fragments
N-079,N+ (positively charged),Atom-centred fragments
F-081,F attached to C1(sp3),Atom-centred fragments
F-082,F attached to C2(sp3),Atom-centred fragments
F-083,F attached to C3(sp3),Atom-centred fragments
F-084,F attached to C1(sp2),Atom-centred fragments
F-085,F attached to C2(sp2)-C4(sp2)/C1(sp)/C4(sp3)/X,Atom-centred fragments
Cl-086,Cl attached to C1(sp3),Atom-centred fragments
Cl-087,Cl attached to C2(sp3),Atom-centred fragments
Cl-088,Cl attached to C3(sp3),Atom-centred fragments
Cl-089,Cl attached to C1(sp2),Atom-centred fragments
Cl-090,Cl attached to C2(sp2)-C4(sp2)/C1(sp)/C4(sp3)/X,Atom-centred fragments
Br-091,Br attached to C1(sp3),Atom-centred fragments
Br-092,Br attached to C2(sp3),Atom-centred fragments
Br-093,Br attached to C3(sp3),Atom-centred fragments
Br-094,Br attached to C1(sp2),Atom-centred fragments
Br-095,Br attached to C2(sp2)-C4(sp2)/C1(sp)/C4(sp3)/X,Atom-centred fragments
I-096,I attached to C1(sp3),Atom-centred fragments
I-097,I attached to C2(sp3),Atom-centred fragments
I-098,I attached to C3(sp3),Atom-centred fragments
I-099,I attached to C1(sp2),Atom-centred fragments
I-100,I attached to C2(sp2)-C4(sp2)/C1(sp)/C4(sp3)/X,Atom-centred fragments
F-101,fluoride ion,Atom-centred fragments
Cl-102,chloride ion,Atom-centred fragments
Br-103,bromide ion,Atom-centred fragments
I-104,iodide ion,Atom-centred fragments
S-106,R-SH,Atom-centred fragments
S-107,R2S / RS-SR,Atom-centred fragments
S-108,R=S,Atom-centred fragments
S-109,R-SO-R,Atom-centred fragments
S-110,R-SO2-R,Atom-centred fragments
Si-111,>Si<,Atom-centred fragments
B-112,>B- as in boranes,Atom-centred fragments
P-115,P ylids,Atom-centred fragments
P-116,R3-P=X,Atom-centred fragments
P-117,X3-P=X (phosphate),Atom-centred fragments
P-118,PX3 (phosphite),Atom-centred fragments
P-119,PR3 (phosphine),Atom-centred fragments
P-120,C-P(X)2=X (phosphonate),Atom-centred fragments
SsCH3,Sum of sCH3 E-states,Atom-type E-state indices
SdCH2,Sum of dCH2 E-states,Atom-type E-state indices
SssCH2,Sum of ssCH2 E-states,Atom-type E-state indices
StCH,Sum of tCH E-states,Atom-type E-state indices
SdsCH,Sum of dsCH E-states,Atom-type E-state indices
SaaCH,Sum of aaCH E-states,Atom-type E-state indices
SsssCH,Sum of sssCH E-states,Atom-type E-state indices
SddC,Sum of ddC E-states,Atom-type E-state indices
StsC,Sum of tsC E-states,Atom-type E-state indices
SdssC,Sum of dssC E-states,Atom-type E-state indices
SaasC,Sum of aasC E-states,Atom-type E-state indices
SaaaC,Sum of aaaC E-states,Atom-type E-state indices
SssssC,Sum of ssssC E-states,Atom-type E-state indices
SsNH2,Sum of sNH2 E-states,Atom-type E-state indices
SssNH,Sum of ssNH E-states,Atom-type E-state indices
SdNH,Sum of dNH E-states,Atom-type E-state indices
SsssN,Sum of sssN E-states,Atom-type E-state indices
SdsN,Sum of dsN E-states,Atom-type E-state indices
SaaN,Sum of aaN E-states,Atom-type E-state indices
StN,Sum of tN E-states,Atom-type E-state indices
SsNH3+,Sum of sNH3+ E-states,Atom-type E-state indices
SssNH2+,Sum of ssNH2+ E-states,Atom-type E-state indices
SdNH2+,Sum of dNH2+ E-states,Atom-type E-state indices
SsssNH+,Sum of sssNH+ E-states,Atom-type E-state indices
SssssN+,Sum of ssssN+ E-states,Atom-type E-state indices
SddsN,Sum of ddsN E-states,Atom-type E-state indices
SaadN,Sum of aadN E-states,Atom-type E-state indices
SaasN,Sum of aasN E-states,Atom-type E-state indices
SaaNH,Sum of aaNH E-states,Atom-type E-state indices
SsOH,Sum of sOH E-states,Atom-type E-state indices
SdO,Sum of dO E-states,Atom-type E-state indices
SssO,Sum of ssO E-states,Atom-type E-state indices
SaaO,Sum of aaO E-states,Atom-type E-state indices
SsPH2,Sum of sPH2 E-states,Atom-type E-state indices
SssPH,Sum of ssPH E-states,Atom-type E-state indices
SsssP,Sum of sssP E-states,Atom-type E-state indices
SdsssP,Sum of dsssP E-states,Atom-type E-state indices
SddsP,Sum of ddsP E-states,Atom-type E-state indices
SsssssP,Sum of sssssP E-states,Atom-type E-state indices
SsSH,Sum of sSH E-states,Atom-type E-state indices
SdS,Sum of dS E-states,Atom-type E-state indices
SssS,Sum of ssS E-states,Atom-type E-state indices
SaaS,Sum of aaS E-states,Atom-type E-state indices
SdssS,Sum of dssS E-states,Atom-type E-state indices
SddssS,Sum of ddssS E-states,Atom-type E-state indices
SssssssS,Sum of ssssssS E-states,Atom-type E-state indices
SsF,Sum of sF E-states,Atom-type E-state indices
SsCl,Sum of sCl E-states,Atom-type E-state indices
SsBr,Sum of sBr E-states,Atom-type E-state indices
SsI,Sum of sI E-states,Atom-type E-state indices
SsLi,Sum of sLi E-states,Atom-type E-state indices
SssBe,Sum of ssBe E-states,Atom-type E-state indices
SssssBe-,Sum of ssssBe- E-states,Atom-type E-state indices
SsBH2,Sum of sBH2 E-states,Atom-type E-state indices
SssBH,Sum of ssBH E-states,Atom-type E-state indices
SsssB,Sum of sssB E-states,Atom-type E-state indices
SssssB-,Sum of ssssB- E-states,Atom-type E-state indices
SsGeH3,Sum of sGeH3 E-states,Atom-type E-state indices
SssGeH2,Sum of ssGeH2 E-states,Atom-type E-state indices
SsssGeH,Sum of sssGeH E-states,Atom-type E-state indices
SssssGe,Sum of ssssGe E-states,Atom-type E-state indices
SsAsH2,Sum of sAsH2 E-states,Atom-type E-state indices
SssAsH,Sum of ssAsH E-states,Atom-type E-state indices
SsssAs,Sum of sssAs E-states,Atom-type E-state indices
SsssssAs,Sum of sssssAs E-states,Atom-type E-state indices
SdsssAs,Sum of dsssAs E-states,Atom-type E-state indices
SddsAs,Sum of ddsAs E-states,Atom-type E-state indices
SsSeH,Sum of sSeH E-states,Atom-type E-state indices
SdSe,Sum of dSe E-states,Atom-type E-state indices
SssSe,Sum of ssSe E-states,Atom-type E-state indices
SaaSe,Sum of aaSe E-states,Atom-type E-state indices
SdssSe,Sum of dssSe E-states,Atom-type E-state indices
SssssssSe,Sum of ssssssSe E-states,Atom-type E-state indices
SddssSe,Sum of ddssSe E-states,Atom-type E-state indices
SsSnH3,Sum of sSnH3 E-states,Atom-type E-state indices
SssSnH2,Sum of ssSnH2 E-states,Atom-type E-state indices
SsssSnH,Sum of sssSnH E-states,Atom-type E-state indices
SssssSn,Sum of ssssSn E-states,Atom-type E-state indices
SsPbH3,Sum of sPbH3 E-states,Atom-type E-state indices
SssPbH2,Sum of ssPbH2 E-states,Atom-type E-state indices
SsssPbH,Sum of sssPbH E-states,Atom-type E-state indices
SssssPb,Sum of ssssPb E-states,Atom-type E-state indices
SsSiH3,Sum of sSiH3 E-states,Atom-type E-state indices
SssSiH2,Sum of ssSiH2 E-states,Atom-type E-state indices
SsssSiH,Sum of sssSiH E-states,Atom-type E-state indices
SssssSi,Sum of ssssSi E-states,Atom-type E-state indices
NsCH3,Number of atoms of type sCH3,Atom-type E-state indices
NdCH2,Number of atoms of type dCH2,Atom-type E-state indices
NssCH2,Number of atoms of type ssCH2,Atom-type E-state indices
NtCH,Number of atoms of type tCH,Atom-type E-state indices
NdsCH,Number of atoms of type dsCH,Atom-type E-state indices
NaaCH,Number of atoms of type aaCH,Atom-type E-state indices
NsssCH,Number of atoms of type sssCH,Atom-type E-state indices
NddC,Number of atoms of type ddC,Atom-type E-state indices
NtsC,Number of atoms of type tsC,Atom-type E-state indices
NdssC,Number of atoms of type dssC,Atom-type E-state indices
NaasC,Number of atoms of type aasC,Atom-type E-state indices
NaaaC,Number of atoms of type aaaC,Atom-type E-state indices
NssssC,Number of atoms of type ssssC,Atom-type E-state indices
NsNH2,Number of atoms of type sNH2,Atom-type E-state indices
NssNH,Number of atoms of type ssNH,Atom-type E-state indices
NdNH,Number of atoms of type dNH,Atom-type E-state indices
NsssN,Number of atoms of type sssN,Atom-type E-state indices
NdsN,Number of atoms of type dsN,Atom-type E-state indices
NaaN,Number of atoms of type aaN,Atom-type E-state indices
NtN,Number of atoms of type tN,Atom-type E-state indices
NsNH3+,Number of atoms of type sNH3+,Atom-type E-state indices
NssNH2+,Number of atoms of type ssNH2+,Atom-type E-state indices
NdNH2+,Number of atoms of type dNH2+,Atom-type E-state indices
NsssNH+,Number of atoms of type sssNH+,Atom-type E-state indices
NssssN+,Number of atoms of type ssssN+,Atom-type E-state indices
NddsN,Number of atoms of type ddsN,Atom-type E-state indices
NaadN,Number of atoms of type aadN,Atom-type E-state indices
NaasN,Number of atoms of type aasN,Atom-type E-state indices
NaaNH,Number of atoms of type aaNH,Atom-type E-state indices
NsOH,Number of atoms of type sOH,Atom-type E-state indices
NdO,Number of atoms of type dO,Atom-type E-state indices
NssO,Number of atoms of type ssO,Atom-type E-state indices
NaaO,Number of atoms of type aaO,Atom-type E-state indices
NsPH2,Number of atoms of type sPH2,Atom-type E-state indices
NssPH,Number of atoms of type ssPH,Atom-type E-state indices
NsssP,Number of atoms of type sssP,Atom-type E-state indices
NdsssP,Number of atoms of type dsssP,Atom-type E-state indices
NddsP,Number of atoms of type ddsP,Atom-type E-state indices
NsssssP,Number of atoms of type sssssP,Atom-type E-state indices
NsSH,Number of atoms of type sSH,Atom-type E-state indices
NdS,Number of atoms of type dS,Atom-type E-state indices
NssS,Number of atoms of type ssS,Atom-type E-state indices
NaaS,Number of atoms of type aaS,Atom-type E-state indices
NdssS,Number of atoms of type dssS,Atom-type E-state indices
NddssS,Number of atoms of type ddssS,Atom-type E-state indices
NssssssS,Number of atoms of type ssssssS,Atom-type E-state indices
NsF,Number of atoms of type sF,Atom-type E-state indices
NsCl,Number of atoms of type sCl,Atom-type E-state indices
NsBr,Number of atoms of type sBr,Atom-type E-state indices
NsI,Number of atoms of type sI,Atom-type E-state indices
NsLi,Number of atoms of type sLi,Atom-type E-state indices
NssBe,Number of atoms of type ssBe,Atom-type E-state indices
NssssBe-,Number of atoms of type ssssBe-,Atom-type E-state indices
NsBH2,Number of atoms of type sBH2,Atom-type E-state indices
NssBH,Number of atoms of type ssBH,Atom-type E-state indices
NsssB,Number of atoms of type sssB,Atom-type E-state indices
NssssB-,Number of atoms of type ssssB-,Atom-type E-state indices
NsGeH3,Number of atoms of type sGeH3,Atom-type E-state indices
NssGeH2,Number of atoms of type ssGeH2,Atom-type E-state indices
NsssGeH,Number of atoms of type sssGeH,Atom-type E-state indices
NssssGe,Number of atoms of type ssssGe,Atom-type E-state indices
NsAsH2,Number of atoms of type sAsH2,Atom-type E-state indices
NssAsH,Number of atoms of type ssAsH,Atom-type E-state indices
NsssAs,Number of atoms of type sssAs,Atom-type E-state indices
NsssssAs,Number of atoms of type sssssAs,Atom-type E-state indices
NdsssAs,Number of atoms of type dsssAs,Atom-type E-state indices
NddsAs,Number of atoms of type ddsAs,Atom-type E-state indices
NsSeH,Number of atoms of type sSeH,Atom-type E-state indices
NdSe,Number of atoms of type dSe,Atom-type E-state indices
NssSe,Number of atoms of type ssSe,Atom-type E-state indices
NaaSe,Number of atoms of type aaSe,Atom-type E-state indices
NdssSe,Number of atoms of type dssSe,Atom-type E-state indices
NssssssSe,Number of atoms of type ssssssSe,Atom-type E-state indices
NddssSe,Number of atoms of type ddssSe,Atom-type E-state indices
NsSnH3,Number of atoms of type sSnH3,Atom-type E-state indices
NssSnH2,Number of atoms of type ssSnH2,Atom-type E-state indices
NsssSnH,Number of atoms of type sssSnH,Atom-type E-state indices
NssssSn,Number of atoms of type ssssSn,Atom-type E-state indices
NsPbH3,Number of atoms of type sPbH3,Atom-type E-state indices
NssPbH2,Number of atoms of type ssPbH2,Atom-type E-state indices
NsssPbH,Number of atoms of type sssPbH,Atom-type E-state indices
NssssPb,Number of atoms of type ssssPb,Atom-type E-state indices
NsSiH3,Number of atoms of type sSiH3,Atom-type E-state indices
NssSiH2,Number of atoms of type ssSiH2,Atom-type E-state indices
NsssSiH,Number of atoms of type sssSiH,Atom-type E-state indices
NssssSi,Number of atoms of type ssssSi,Atom-type E-state indices
CATS2D_00_DD,CATS2D Donor-Donor at lag 00,CATS 2D
CATS2D_01_DD,CATS2D Donor-Donor at lag 01,CATS 2D
CATS2D_02_DD,CATS2D Donor-Donor at lag 02,CATS 2D
CATS2D_03_DD,CATS2D Donor-Donor at lag 03,CATS 2D
CATS2D_04_DD,CATS2D Donor-Donor at lag 04,CATS 2D
CATS2D_05_DD,CATS2D Donor-Donor at lag 05,CATS 2D
CATS2D_06_DD,CATS2D Donor-Donor at lag 06,CATS 2D
CATS2D_07_DD,CATS2D Donor-Donor at lag 07,CATS 2D
CATS2D_08_DD,CATS2D Donor-Donor at lag 08,CATS 2D
CATS2D_09_DD,CATS2D Donor-Donor at lag 09,CATS 2D
CATS2D_00_DA,CATS2D Donor-Acceptor at lag 00,CATS 2D
CATS2D_01_DA,CATS2D Donor-Acceptor at lag 01,CATS 2D
CATS2D_02_DA,CATS2D Donor-Acceptor at lag 02,CATS 2D
CATS2D_03_DA,CATS2D Donor-Acceptor at lag 03,CATS 2D
CATS2D_04_DA,CATS2D Donor-Acceptor at lag 04,CATS 2D
CATS2D_05_DA,CATS2D Donor-Acceptor at lag 05,CATS 2D
CATS2D_06_DA,CATS2D Donor-Acceptor at lag 06,CATS 2D
CATS2D_07_DA,CATS2D Donor-Acceptor at lag 07,CATS 2D
CATS2D_08_DA,CATS2D Donor-Acceptor at lag 08,CATS 2D
CATS2D_09_DA,CATS2D Donor-Acceptor at lag 09,CATS 2D
CATS2D_00_DP,CATS2D Donor-Positive at lag 00,CATS 2D
CATS2D_01_DP,CATS2D Donor-Positive at lag 01,CATS 2D
CATS2D_02_DP,CATS2D Donor-Positive at lag 02,CATS 2D
CATS2D_03_DP,CATS2D Donor-Positive at lag 03,CATS 2D
CATS2D_04_DP,CATS2D Donor-Positive at lag 04,CATS 2D
CATS2D_05_DP,CATS2D Donor-Positive at lag 05,CATS 2D
CATS2D_06_DP,CATS2D Donor-Positive at lag 06,CATS 2D
CATS2D_07_DP,CATS2D Donor-Positive at lag 07,CATS 2D
CATS2D_08_DP,CATS2D Donor-Positive at lag 08,CATS 2D
CATS2D_09_DP,CATS2D Donor-Positive at lag 09,CATS 2D
CATS2D_00_DN,CATS2D Donor-Negative at lag 00,CATS 2D
CATS2D_01_DN,CATS2D Donor-Negative at lag 01,CATS 2D
CATS2D_02_DN,CATS2D Donor-Negative at lag 02,CATS 2D
CATS2D_03_DN,CATS2D Donor-Negative at lag 03,CATS 2D
CATS2D_04_DN,CATS2D Donor-Negative at lag 04,CATS 2D
CATS2D_05_DN,CATS2D Donor-Negative at lag 05,CATS 2D
CATS2D_06_DN,CATS2D Donor-Negative at lag 06,CATS 2D
CATS2D_07_DN,CATS2D Donor-Negative at lag 07,CATS 2D
CATS2D_08_DN,CATS2D Donor-Negative at lag 08,CATS 2D
CATS2D_09_DN,CATS2D Donor-Negative at lag 09,CATS 2D
CATS2D_00_DL,CATS2D Donor-Lipophilic at lag 00,CATS 2D
CATS2D_01_DL,CATS2D Donor-Lipophilic at lag 01,CATS 2D
CATS2D_02_DL,CATS2D Donor-Lipophilic at lag 02,CATS 2D
CATS2D_03_DL,CATS2D Donor-Lipophilic at lag 03,CATS 2D
CATS2D_04_DL,CATS2D Donor-Lipophilic at lag 04,CATS 2D
CATS2D_05_DL,CATS2D Donor-Lipophilic at lag 05,CATS 2D
CATS2D_06_DL,CATS2D Donor-Lipophilic at lag 06,CATS 2D
CATS2D_07_DL,CATS2D Donor-Lipophilic at lag 07,CATS 2D
